"","Orbitrap_HeLaCE_SGF_Fraction1","Orbitrap_HeLaCE_SGF_Fraction2","Orbitrap_HeLaCE_SGF_Fraction3","Orbitrap_HeLaCE_SGF_Fraction4","Orbitrap_HeLaCE_SGF_Fraction5","Orbitrap_HeLaCE_SGF_Fraction6","Orbitrap_HeLaCE_SGF_Fraction7-2","Orbitrap_HeLaCE_SGF_Fraction8","Orbitrap_HeLaCE_SGF_Fraction9","Orbitrap_HeLaCE_SGF_Fraction10","Orbitrap_HeLaCE_SGF_Fraction11","Orbitrap_HeLaCE_SGF_Fraction12","Orbitrap_HeLaCE_SGF_Fraction13","Orbitrap_HeLaCE_SGF_Fraction14"
"P61758",0,0,0,3,0,0,0,0,0,0,0,0,0,0
"Q13492",0,0,6,0,6,0,4,0,6,0,4,0,0,0
"Q9Y237",0,0,0,0,2,3,0,1,0,0,0,0,0,0
"P00491",0,0,2,0,1,0,0,1,0,0,0,0,0,0
"Q5H9R7",0,0,3,0,0,0,0,0,0,0,0,0,0,0
"P62937",0,0,27,29,52,39,23,18,13,6,0,0,0,0
"Q9Y520",0,0,2,6,8,6,4,0,2,2,17,14,11,2
"P25786",0,0,27,38,13,4,0,0,0,0,0,0,0,0
"P28074",0,0,41,38,0,0,0,0,0,0,0,0,0,0
"O00231",0,0,29,75,12,0,0,0,0,0,0,0,0,0
"P55036",0,0,30,80,13,0,0,0,0,0,0,0,0,0
"P61289",0,82,35,15,13,7,13,13,15,0,0,0,0,0
"Q9Y3E5",0,0,0,0,5,0,5,5,2,0,0,0,0,0
"Q9UHX1",0,0,0,0,0,0,0,7,8,8,0,0,0,0
"P14927",0,0,0,0,2,10,8,3,8,4,4,1,0,0
"Q13636",0,0,3,0,4,0,6,2,2,0,0,0,0,0
"Q9UKM9",0,0,0,0,4,0,3,0,0,7,5,4,6,0
"P62826",0,0,4,10,7,0,15,0,0,0,0,0,0,0
"P43487",0,0,0,0,0,0,0,0,0,0,4,2,0,0
"Q8IY67",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Q14498",0,0,0,0,0,0,0,0,0,18,14,11,7,0
"P18754",0,6,0,0,0,0,0,0,0,0,0,0,0,0
"Q14257",0,0,6,6,3,4,0,1,2,0,2,0,0,0
"Q9BXF6",0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Q6R327",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"P27635",0,0,0,0,0,0,11,43,20,18,24,28,26,8
"P62906",0,0,0,0,0,4,15,81,50,58,52,63,56,12
"P50914",0,0,0,0,0,0,7,18,6,10,18,19,19,9
"P83731",0,0,0,0,0,0,12,40,27,49,48,71,66,36
"P61353",0,0,0,0,0,0,10,24,16,15,27,34,39,0
"P62899",0,0,0,0,0,0,17,29,20,3,2,2,0,5
"Q02878",0,0,0,0,0,0,44,110,67,44,59,76,63,39
"P18124",0,0,0,0,0,0,43,98,61,29,33,45,41,13
"Q7Z2W9",0,0,0,0,4,0,0,0,0,0,0,0,0,0
"Q9BYC8",0,0,0,0,10,3,0,0,0,0,0,0,0,0
"Q9NYK5",0,0,0,0,9,3,0,0,0,0,0,0,0,0
"Q9BRJ2",0,0,0,0,8,5,1,0,0,0,0,0,0,0
"O15446",0,0,0,0,0,1,0,3,0,0,0,0,0,0
"O14802",0,0,4,0,7,11,9,4,0,0,0,0,0,0
"P04843",0,9,9,9,18,29,63,45,50,36,33,26,20,0
"P78346",0,0,12,0,0,0,0,0,0,0,0,0,0,0
"Q9P2E9",0,0,0,0,0,0,0,4,11,14,18,22,17,2
"P60866",0,0,0,0,0,0,0,0,0,17,13,15,16,10
"P62857",0,0,0,0,13,12,12,18,10,16,24,27,22,7
"P62273",0,0,0,0,0,0,0,10,3,5,8,10,10,0
"P62241",0,0,0,0,22,27,21,76,45,66,97,107,96,59
"P08865",0,0,0,0,23,28,29,73,44,47,55,60,51,25
"Q9Y2Q9",0,0,0,0,12,6,0,4,3,2,0,0,0,0
"P82930",0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Q15424",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"O15027",0,9,6,27,13,17,3,9,11,9,7,0,0,0
"O94979",0,0,0,1,0,0,2,3,8,2,0,0,0,0
"Q15019",0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Q15428",0,0,0,7,0,0,0,0,0,0,0,0,0,0
"P18583",0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Q15005",0,0,0,0,3,1,8,0,0,0,0,0,0,0
"Q96SB4",0,0,0,0,0,0,0,13,6,14,14,12,15,0
"Q8IYB3",0,0,0,0,0,0,0,0,4,4,0,0,0,0
"P51649",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"P51571",0,0,0,0,0,0,0,7,6,25,20,14,16,0
