"","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaCE_IEF_pH3_to_10_Fraction10"
"P08195",0,0,2,0,9,0,0,0,0,0
"P52209",0,0,0,15,47,22,28,18,9,4
"Q99798",0,0,0,0,0,0,10,22,0,0
"P12814",0,0,0,14,6,0,0,0,0,0
"P30838",0,0,0,0,0,31,17,0,0,0
"P49189",0,0,0,0,19,0,0,0,0,0
"P04075",51,32,0,6,16,22,6,12,12,18
"Q9H4A4",0,0,0,0,29,0,0,0,0,0
"P07355",74,42,0,0,0,19,177,295,260,131
"P09525",0,0,0,0,8,44,6,0,0,0
"P20073",0,0,0,0,8,12,2,2,0,0
"P61160",0,0,0,0,0,0,8,7,0,0
"P18859",0,0,0,0,0,2,0,0,0,0
"Q07812",0,0,2,5,0,0,0,0,0,0
"P55957",0,0,0,1,0,0,0,0,0,0
"Q13867",0,0,0,34,0,0,0,0,0,0
"Q9H3K6",0,0,0,1,6,7,0,0,0,0
"Q5JTJ3",0,0,0,0,0,0,3,3,0,0
"Q05682",0,0,0,1,0,0,0,0,0,0
"P47756",0,0,0,0,22,40,9,0,0,0
"P42771",0,0,2,2,0,0,0,0,0,0
"P06493",0,0,0,0,0,0,0,0,4,0
"P61024",0,0,0,0,0,0,0,0,0,4
"O96005",0,0,0,0,1,0,0,0,0,0
"P62633",2,0,0,0,0,3,4,7,8,9
"Q99829",0,0,0,0,27,7,0,0,0,0
"P31327",1,0,0,0,5,45,0,0,0,0
"Q9UJU6",0,0,0,0,0,0,0,0,0,1
"P32321",0,0,0,0,0,0,2,4,2,0
"Q9NP97",0,0,0,5,15,5,0,0,0,0
"P30046",0,0,0,0,8,20,7,10,0,0
"Q14194",0,0,0,0,0,9,0,0,0,0
"P51808",0,0,0,2,0,0,0,0,0,0
"Q15370",0,0,4,0,0,0,0,0,0,0
"O43768",0,0,0,0,0,7,3,0,0,0
"Q9UNN8",0,0,0,2,0,0,0,0,0,0
"Q9NZ08",0,0,0,0,5,0,0,0,0,0
"Q9H098",0,0,0,0,0,0,6,8,5,7
"P62942",0,0,0,0,0,0,0,0,0,5
"Q16658",0,0,0,0,0,44,115,105,69,39
"Q96AE4",0,0,0,2,0,8,23,22,15,9
"Q92945",0,0,0,3,5,7,15,7,1,0
"P35637",0,0,0,1,0,0,0,1,0,2
"P11413",0,0,0,4,0,0,0,0,0,0
"Q01415",0,0,0,0,1,0,0,0,0,0
"P63244",0,0,0,0,0,0,70,78,51,15
"P35573",0,0,0,0,0,83,0,0,0,0
"P52565",0,0,0,15,4,0,2,0,0,0
"Q9HC38",0,0,0,11,0,0,0,0,0,0
"Q9Y5P6",0,0,0,0,0,14,0,0,0,0
"Q9UBQ7",0,0,0,0,9,11,7,0,0,0
"P11021",0,0,8,29,21,0,0,0,0,0
"Q9Y5Z4",0,4,16,0,0,0,0,0,0,0
"Q9UK76",0,0,0,4,15,1,0,0,0,2
"P31943",4,0,0,1,7,0,0,0,0,0
"P07910",0,2,0,0,0,0,0,0,0,0
"P07900",0,0,0,9,0,0,0,0,0,0
"P20810",0,0,25,10,0,0,0,0,0,0
"Q13907",0,0,0,0,3,19,0,0,0,0
"Q04637",0,0,0,0,0,0,0,0,0,2
"P63241",0,0,0,4,0,0,0,0,0,0
"Q9H2U2",0,0,0,0,0,2,0,0,0,0
"P00568",0,0,0,0,0,0,0,0,0,22
"P27816",0,0,0,3,0,0,0,0,0,6
"Q9ULC4",0,0,0,0,0,2,0,0,0,0
"Q99417",0,0,0,4,0,0,0,0,0,0
"Q13765",0,0,0,3,0,0,0,0,0,0
"Q86X76",0,0,0,0,0,7,0,0,0,0
"Q9NQR4",0,0,0,0,33,39,10,2,0,0
"Q14978",1,0,0,0,0,0,0,0,0,0
"P16083",0,0,0,5,3,3,0,0,0,0
"O43847",0,0,0,37,0,0,0,0,0,0
"Q9H1E3",0,0,1,17,17,13,0,0,0,0
"Q9UKK9",0,0,45,41,0,0,0,0,0,0
"Q15004",0,0,0,0,0,0,0,0,0,2
"Q8WUM4",0,0,0,0,0,21,0,0,0,0
"Q15084",0,0,0,0,0,26,0,0,0,0
"P22061",0,0,0,0,4,6,3,0,0,0
"P00491",0,0,0,0,20,42,0,0,0,0
"P10619",0,0,0,5,0,0,0,0,0,0
"P62937",0,0,0,0,33,90,145,171,184,105
"P50897",0,0,0,0,0,1,0,0,0,0
"Q9Y520",0,0,0,0,0,0,0,0,1,2
"P28074",0,0,0,4,0,0,0,0,0,0
"P20962",0,7,2,6,0,0,0,0,0,0
"P14927",14,4,0,0,0,0,0,0,0,2
"P62906",0,0,0,1,0,0,0,0,0,0
"P60866",0,0,0,0,2,0,0,0,0,0
"P62857",0,0,0,0,0,0,0,0,0,12
"P62241",0,0,0,3,0,0,0,0,0,0
"P08865",0,0,0,4,3,0,0,0,0,3
"Q13228",0,0,0,22,98,42,0,0,0,0
"Q9H299",0,0,6,5,0,0,0,0,0,0
"P35237",0,0,0,40,0,4,0,0,0,0
"P37802",6,2,0,0,4,9,13,19,20,40
"Q6P1N9",0,0,0,0,0,4,0,0,0,0
"O75347",0,0,13,6,40,0,0,0,0,0
"Q15185",0,0,0,2,0,0,0,0,0,0
"Q92734",0,0,0,2,0,0,0,0,0,2
"P60174",0,0,0,62,429,266,29,8,8,9
"P09493",0,0,0,13,0,0,0,0,0,0
"Q13404",0,0,0,0,0,0,0,0,8,13
"P63279",0,0,0,0,0,0,0,0,0,14
"Q14157",0,0,0,0,0,0,0,1,0,0
"Q04323",0,0,0,0,2,0,0,0,0,0
"Q9UBQ0",0,0,0,0,0,11,0,0,0,0
"O75083",0,0,0,0,53,52,0,0,0,0
