"","Orbitrap_HeLaNE_SGF_Fraction1","Orbitrap_HeLaNE_SGF_Fraction2","Orbitrap_HeLaNE_SGF_Fraction3","Orbitrap_HeLaNE_SGF_Fraction4","Orbitrap_HeLaNE_SGF_Fraction5","Orbitrap_HeLaNE_SGF_Fraction6","Orbitrap_HeLaNE_SGF_Fraction7","Orbitrap_HeLaNE_SGF_Fraction8","Orbitrap_HeLaNE_SGF_Fraction9","Orbitrap_HeLaNE_SGF_Fraction10","Orbitrap_HeLaNE_SGF_Fraction11","Orbitrap_HeLaNE_SGF_Fraction12","Orbitrap_HeLaNE_SGF_Fraction13","Orbitrap_HeLaNE_SGF_Fraction14"
"P55265",0,0,0,0,6,12,24,42,44,38,19,2,0,0
"Q14204",0,53,88,44,11,3,0,0,0,0,0,0,0,0
"P63172",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P50570",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"P19525",0,2,0,4,0,0,0,0,0,0,0,0,0,0
"P40939",0,6,60,64,49,54,52,42,8,5,1,0,0,0
"P55084",0,4,17,8,0,0,0,0,0,0,0,0,0,0
"Q9BQ95",0,0,0,27,35,33,34,39,2,1,0,0,0,0
"Q6P2E9",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"P68104",0,19,61,36,21,19,16,19,0,0,0,0,0,0
"P24534",0,22,39,7,4,4,3,4,6,8,8,1,0,0
"P13639",0,0,15,15,11,24,28,32,6,0,0,0,0,0
"P00533",0,5,4,3,0,2,5,0,0,0,0,0,0,0
"Q14152",0,0,0,0,0,14,11,0,0,0,0,0,0,0
"P06733",0,3,8,0,0,4,0,0,0,0,0,0,0,0
"P29317",0,0,0,0,0,0,0,3,0,0,0,0,0,0
"P58107",0,0,4,2,3,2,2,0,0,0,0,0,0,0
"Q14677",0,0,0,0,0,0,0,0,0,16,17,1,0,0
"O75616",0,0,0,10,3,2,2,0,0,0,0,0,0,0
"Q96DZ1",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"O94905",0,0,0,6,27,43,33,23,6,20,15,4,0,0
"Q92817",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Q96A26",0,0,0,1,1,2,0,5,6,0,0,0,0,0
"Q5VSL9",0,1,9,2,0,0,0,0,0,0,0,0,0,0
"Q8IVS2",0,0,0,6,2,2,0,0,0,0,0,0,0,0
"O75844",0,0,0,4,4,4,4,2,0,0,0,0,0,0
"Q96CS3",0,0,4,8,10,18,15,15,0,0,0,0,0,0
"Q92520",0,0,0,5,3,4,2,4,0,0,0,0,0,0
"Q6UN15",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Q15007",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P21333",17,119,339,195,141,150,159,171,153,137,180,116,63,37
"O75369",10,79,257,167,148,146,153,138,113,140,165,63,20,8
"Q14315",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"O75955",0,0,0,18,57,62,44,30,10,8,0,0,0,0
"Q96I24",0,0,0,0,0,0,0,3,2,0,0,0,0,0
"Q96CU9",0,0,0,0,2,0,0,2,0,0,0,0,0,0
"Q13283",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Q8TAE8",0,0,0,6,90,45,27,24,23,16,14,12,2,3
"P06744",0,0,0,0,1,3,1,0,0,0,0,0,0,0
"Q10471",0,5,16,29,26,42,52,47,16,0,0,0,0,0
"P62873",0,0,0,0,0,0,0,0,0,5,0,0,0,0
"Q9UBI6",0,0,0,7,10,12,11,16,3,0,0,0,0,0
"Q92616",0,2,4,14,10,14,0,9,0,0,0,0,0,0
"P06396",0,0,0,9,2,0,0,1,0,3,2,0,0,0
"Q8TEQ6",0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Q9H936",0,0,0,1,0,2,3,3,0,0,0,0,0,0
"O94923",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"P14314",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"P34896",0,0,0,4,5,3,0,0,0,0,0,0,0,0
"P34897",0,3,8,13,6,0,0,0,0,0,0,0,0,0
"P63096",0,0,0,0,2,2,2,0,0,0,0,0,0,0
"P04899",0,0,0,12,18,21,18,15,0,0,0,0,0,0
"P08754",0,0,0,11,15,19,13,9,3,0,0,0,0,0
"Q14789",0,0,8,6,5,5,0,0,0,0,0,0,0,0
