"","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction1","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction2","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction3","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction4","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction5","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction6","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction7","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction8","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction9","Orbitrap_HeLaNE_IEF_pH3_to_10_Fraction10"
"Q1KMD3",0,2,0,0,0,0,0,0,0,1
"Q14103",5,7,0,12,10,17,21,17,19,14
"P52597",3,2,0,4,4,4,1,0,0,1
"P38159",7,0,0,0,0,0,0,0,0,9
"P14866",14,5,0,9,0,0,7,19,2,5
"P52272",16,0,0,7,0,0,0,0,0,6
"O60506",7,0,0,16,0,0,0,0,0,1
"O43390",14,0,0,10,2,0,0,0,0,0
"Q00839",15,10,0,12,5,0,0,1,0,4
"Q5SSJ5",11,0,0,0,0,4,0,0,0,0
"Q96IR7",0,0,0,0,0,0,25,13,0,0
"P08238",4,7,0,7,2,0,0,0,0,0
"Q6YN16",0,1,0,2,0,1,3,3,6,11
"P08107",0,4,0,7,7,2,2,0,0,4
"P11142",7,6,0,13,8,3,0,0,0,0
"P04792",4,0,0,0,7,6,0,0,0,0
"O43464",0,0,0,0,0,0,8,0,0,0
"P07099",0,0,0,0,0,0,14,11,0,0
"Q9H1B7",0,0,0,0,0,0,2,0,0,0
"Q16270",0,0,0,0,0,0,2,3,6,2
"P50213",0,2,0,0,0,0,11,0,0,6
"P51553",0,0,0,0,0,0,0,0,0,2
"P60842",3,3,0,8,2,0,0,0,0,0
"P38919",7,0,0,0,0,0,0,0,0,0
"P23588",0,0,0,0,0,0,0,4,0,4
"P78344",0,0,0,0,0,0,0,0,0,3
"P56537",5,0,0,2,0,0,0,0,0,0
"Q12905",0,2,0,4,0,0,0,0,0,0
"P52292",3,0,0,0,0,0,0,0,0,1
"Q14974",9,4,0,6,0,0,0,0,0,2
"P12268",0,0,0,0,0,0,0,6,0,0
"P46940",7,4,0,9,0,0,0,0,0,0
"P08648",2,0,4,0,0,0,0,0,0,0
"P06756",0,0,0,0,9,6,0,0,0,0
"P05556",6,0,39,23,40,48,7,4,0,8
"P18084",0,0,0,0,0,2,0,0,0,0
"Q8N766",0,0,0,2,0,0,0,0,0,0
"Q8N163",0,0,0,0,0,0,0,0,2,6
"P05783",7,0,0,7,0,0,0,7,0,0
"P04264",110,83,172,53,51,88,62,71,54,38
"P54819",0,0,0,0,0,0,0,23,46,53
"Q9UIJ7",0,0,0,0,0,0,0,0,7,52
"Q6YP21",0,0,0,0,3,0,0,0,0,0
"Q7Z4H8",0,0,0,0,0,0,0,2,0,0
"Q07666",5,0,0,0,0,0,0,0,0,0
"P46013",0,0,0,0,0,0,0,2,12,26
"Q99661",0,0,0,0,0,0,0,0,2,0
"Q9H0B6",0,0,0,0,0,0,0,0,0,1
"P14618",19,11,0,11,0,0,4,9,17,12
"P23919",0,0,0,0,0,0,0,0,11,14
"Q86UP2",0,0,0,7,0,0,0,0,0,0
"Q16719",0,0,0,0,0,0,4,0,0,0
"P11279",16,4,19,5,0,5,0,0,0,0
"P42166",38,0,0,4,14,28,38,20,17,29
"P42167",5,0,0,0,0,0,0,0,0,0
"Q01650",0,4,0,5,3,2,0,0,0,4
"Q14739",1,0,0,0,0,0,0,0,0,0
"O95232",2,0,0,0,0,0,0,0,0,0
"P00338",0,1,0,0,0,0,0,22,15,11
"P07195",0,3,0,0,0,0,0,3,0,0
"P09382",0,0,0,7,31,21,0,0,0,2
"P17931",0,0,0,0,0,0,0,0,0,7
"O95202",0,0,0,0,3,0,0,0,0,0
"P49257",0,0,0,2,0,0,0,0,0,0
"Q12907",0,0,0,0,0,0,0,2,0,0
"P02545",73,0,0,4,0,0,11,21,12,13
"P20700",24,0,0,0,0,0,0,0,0,0
"P36776",0,0,0,4,0,0,0,0,0,0
"P42704",0,0,0,17,0,0,0,0,0,0
"Q96AG4",8,0,0,12,0,0,0,0,0,5
"P10253",0,0,0,3,0,0,0,0,0,0
"Q86UE4",0,0,0,0,0,0,0,0,2,15
"O00754",0,0,0,0,3,4,4,0,0,0
"Q9BQ69",0,0,0,0,0,0,0,0,0,12
"Q9Y2U8",0,0,0,0,0,0,0,0,0,2
"P29966",4,2,15,23,9,0,0,0,0,0
"Q15691",0,0,0,0,0,0,0,0,0,6
"O95983",2,0,0,0,0,0,0,0,0,0
"P33992",2,0,0,0,0,0,0,0,0,0
"P33993",6,0,0,2,0,0,0,0,0,0
"P40926",2,0,0,0,0,0,4,10,65,174
"Q14696",0,0,0,0,0,8,26,8,0,0
"P14174",0,0,0,0,0,0,0,0,8,0
"Q8N183",0,0,0,0,0,0,0,0,0,5
"Q9BYG3",4,0,0,0,0,0,0,0,0,0
"Q02252",0,0,0,0,0,0,0,0,2,0
"P26038",0,0,0,0,0,0,25,6,0,0
"P53985",0,2,0,0,0,0,0,0,0,0
"Q00325",0,6,0,9,0,0,0,0,0,0
"P20645",0,0,0,0,2,4,5,0,0,0
"P11717",0,0,0,0,0,2,0,0,0,0
"P43246",1,0,0,0,0,0,0,0,0,0
"P52701",2,0,0,0,0,0,0,0,0,0
"O94776",2,0,0,0,0,0,0,0,0,7
